# scope: final; corpus: Draugas 1909-2007; generated: 2026-07-19; lane: draugas-parish-registry-1909-2007; gazetteer config-as-truth; +county,+geo_disambiguator (additive); NOT a unified-build ingest input
parish_key,country,city,state,titular_lt,titular_en_key,city_stems,titular_stems,c83_row,cand_idx,status,founded,closed,source,notes,county,geo_disambiguator
all-saints-chicago-il,US,Chicago,IL,Visų Šventųjų,all saints,chicago|cikag|chicagos|chicagoj,sventuju|szventuju,,94,repurposed,1906,1989,candidate-137,,,
st-casimir-chicago-heights-il,US,Chicago Heights,IL,Šv. Kazimiero,st. casimir,chicago heights,kazimier,,96,repurposed,1911,1987,candidate-137,,Cook,
ss-peter-and-paul-chicago-il,US,Chicago,IL,Šv. Petro ir Povilo,ss. peter and paul,chicago|cikag|chicagos|chicagoj,povil,,97,repurposed,1959,2022,candidate-137,,,
zion-lithuanian-lutheran-oak-lawn-il,US,Oak Lawn,IL,Ziono liuteronų,zion lithuanian lutheran,oak lawn,ziono,,99,standing,1910,,candidate-137,,Cook,
st-bartholomew-waukegan-il,US,Waukegan,IL,Šv. Baltramiejaus,st. bartholomew,waukegan,baltramiej,,101,repurposed,1896,2008,candidate-137,,Lake,
jerusalem-lutheran-collinsville-il,US,Collinsville,IL,Jeruzalės liuteronų,jerusalem lutheran,collinsville,jeruzal,,103,standing,1903,,candidate-137,,Madison,
ss-peter-and-paul-rockford-il,US,Rockford,IL,Šv. Petro ir Povilo,ss. peter and paul,rockford,povil,,104,repurposed,1911,,candidate-137,,Winnebago,
st-vincent-de-paul-springfield-il,US,Springfield,IL,Šv. Vincento Pauliečio,st. vincent de paul,springfield,vincent,,105,demolished,1909,1972,candidate-137,,,
st-anthony-kewanee-il,US,Kewanee,IL,Šv. Antano,st. anthony,kewanee,antan,,106,closed,1913,1982,candidate-137,,Henry,
ss-peter-and-paul-westville-il,US,Westville,IL,Šv. Petro ir Povilo,ss. peter and paul,westville|vestvil,povil,,109,demolished,1897,1989,candidate-137,,Vermilion,
holy-cross-westville-il,US,Westville,IL,Šv. Kryžiaus,holy cross,westville|vestvil,kryzi,,110,demolished,1914,1960,candidate-137,,Vermilion,
st-francis-youngstown-oh,US,Youngstown,OH,Šv. Pranciškaus,st. francis,youngstown,prancisk|pranciszk,,116,repurposed,,1979,candidate-137,,,
st-peter-akron-oh,US,Akron,OH,Šv. Petro,st. peter,akron,petro,,117,demolished,,,candidate-137,,,
